Sample, R1, STROBE, L
493564, 1, 0, 0
493570, 0, 1, 0
493577, 0, 0, 0
493583, 0, 1, 0
493590, 0, 0, 0
493596, 0, 1, 0
493603, 0, 0, 0
493609, 0, 1, 0
493616, 0, 0, 0
493621, 0, 1, 0
493628, 0, 0, 0
493634, 0, 1, 0
493641, 0, 0, 0
493647, 0, 1, 0
493654, 0, 0, 0
493659, 1, 0, 0
493660, 1, 1, 0
493667, 1, 0, 0
493672, 0, 0, 0
493673, 0, 1, 0
493680, 0, 0, 0
493685, 0, 1, 0
493692, 0, 0, 0
493698, 0, 1, 0
493705, 0, 0, 0
493711, 0, 1, 0
493718, 0, 0, 0
493724, 0, 1, 0
493731, 0, 0, 0
493737, 0, 1, 0
493744, 0, 0, 0
493749, 0, 1, 0
493756, 0, 0, 0
493762, 1, 1, 0
493769, 1, 0, 0
493775, 0, 1, 0
493782, 0, 0, 0
493788, 0, 1, 0
493795, 0, 0, 0
493801, 0, 1, 0
493808, 0, 0, 0
493813, 0, 1, 0
493820, 0, 0, 0
493826, 0, 1, 0
493833, 0, 0, 0
493839, 0, 1, 0
493846, 0, 0, 0
493852, 0, 1, 0
493859, 0, 0, 0
493864, 1, 0, 0
493865, 1, 1, 0
493872, 1, 0, 0
493877, 0, 1, 0
493884, 0, 0, 0
493890, 0, 1, 0
493897, 0, 0, 0
493903, 0, 1, 0
493910, 0, 0, 0
493916, 0, 1, 0
493923, 0, 0, 0
493929, 0, 1, 0
493936, 0, 0, 0
493941, 0, 1, 0
493948, 0, 0, 0
493954, 0, 1, 0
493961, 0, 0, 0
493967, 1, 1, 0
493974, 1, 0, 0
493979, 0, 0, 0
493980, 0, 1, 0
493987, 0, 0, 0
493993, 0, 1, 0
494000, 0, 0, 0
494005, 0, 1, 0
494012, 0, 0, 0
494018, 0, 1, 0
494025, 0, 0, 0
494031, 0, 1, 0
494038, 0, 0, 0
494044, 0, 1, 0
494051, 0, 0, 0
494057, 0, 1, 0
494064, 0, 0, 0
494069, 1, 1, 0
494076, 1, 0, 0
494082, 0, 1, 0
494089, 0, 0, 0
494095, 0, 1, 0
494102, 0, 0, 0
494108, 0, 1, 0
494115, 0, 0, 0
494121, 0, 1, 0
494128, 0, 0, 0
494133, 0, 1, 0
494140, 0, 0, 0
494146, 0, 1, 0
494153, 0, 0, 0
494159, 0, 1, 0
494166, 0, 0, 0
494171, 1, 0, 0
494172, 1, 1, 0
494179, 1, 0, 0
494184, 0, 0, 0
494185, 0, 1, 0
494192, 0, 0, 0
494197, 0, 1, 0
494204, 0, 0, 0
494210, 0, 1, 0
494217, 0, 0, 0
494223, 0, 1, 0
494230, 0, 0, 0
494236, 0, 1, 0
494243, 0, 0, 0
